2024-09-22 14:20:20.502236 - Event: Heat, Location: South
2024-09-22 14:20:38.271779 - Event: Smoke, Location: Southeast
2024-09-22 14:20:53.024806 - Event: Smoke, Location: Southeast
2024-09-22 14:25:49.460629 - Event: Smoke, Location: Southwest
2024-09-22 14:27:08.042974 - Event: Fire, Location: South
2024-09-22 14:27:54.759762 - Event: Smoke, Location: East
2024-09-22 14:28:17.184901 - Event: Smoke, Location: West
2024-09-22 14:29:31.581442 - Event: Heat, Location: Northwest
2024-09-22 14:30:00.749660 - Event: Fire, Location: Northwest
2024-09-22 14:30:11.857505 - Event: Heat, Location: Southeast
2024-09-22 14:30:38.708443 - Event: Smoke, Location: Northwest
2024-09-22 15:09:13.513997 - Event: Smoke, Location: East
2024-09-22 15:09:35.800697 - Event: Fire, Location: East
2024-09-22 16:23:59.254630 - Event: Heat, Location: Southeast
2024-09-22 16:24:11.563001 - Event: Heat, Location: East
2024-09-22 16:24:23.821426 - Event: Smoke, Location: West
2024-09-30 21:48:41.033172 - Event: Fire, Location: West
2024-09-30 21:48:55.500880 - Event: Fire, Location: North
2024-09-30 21:49:11.489979 - Event: Fire, Location: South
2024-10-04 15:22:31.267056 - Event: Fire, Location: Northeast
2024-10-13 22:23:14.476465 - Event: Fire, Location: East
2024-10-13 22:23:26.064487 - Event: Fire, Location: Northeast
2024-10-13 22:26:00.353915 - Event: Heat, Location: East
2024-10-27 21:14:37.951431 - Event: Heat, Location: West
2024-10-27 21:14:51.093658 - Event: Fire, Location: North
2024-10-27 21:21:15.185630 - Event: Heat, Location: Northwest
2024-10-27 21:22:57.506363 - Event: Fire, Location: South
2024-10-27 21:23:40.920400 - Event: Heat, Location: South
2024-10-28 00:02:43.804893 - Event: Fire, Location: Northeast
2024-10-28 00:08:34.558932 - Event: Smoke, Location: East
2024-10-28 00:09:21.633170 - Event: Fire, Location: South
2024-10-28 00:10:21.077588 - Event: Heat, Location: Southeast
2024-10-28 00:14:12.713616 - Event: Heat, Location: East
2024-10-28 19:02:03.113638 - Event: Fire, Location: South
2024-10-28 20:33:47.873513 - Event: Heat, Location: Southwest
